Sistem,Titik Gangguan (%),ZL1,L1,L2,CT,PT,Zone 1,Zone2,Zone 3,Zone 4
BPG,5,1.459,5.15,10.87,200,1363.636,0.044,0.113,0.206,0.007
BPG,10,1.459,5.15,10.87,200,1363.636,0.088,0.227,0.411,0.015
BPG,15,1.459,5.15,10.87,200,1363.636,0.132,0.34,0.617,0.022
BPG,20,1.459,5.15,10.87,200,1363.636,0.176,0.453,0.823,0.029
BPG,25,1.459,5.15,10.87,200,1363.636,0.22,0.566,1.028,0.036
BPG,30,1.459,5.15,10.87,200,1363.636,0.264,0.68,1.234,0.044
BPG,35,1.459,5.15,10.87,200,1363.636,0.309,0.793,1.44,0.051
BPG,40,1.459,5.15,10.87,200,1363.636,0.353,0.906,1.645,0.058
BPG,45,1.459,5.15,10.87,200,1363.636,0.397,1.019,1.851,0.066
BPG,50,1.459,5.15,10.87,200,1363.636,0.441,1.133,2.057,0.073
BPG,55,1.459,5.15,10.87,200,1363.636,0.485,1.246,2.263,0.08
BPG,60,1.459,5.15,10.87,200,1363.636,0.529,1.359,2.468,0.088
BPG,65,1.459,5.15,10.87,200,1363.636,0.573,1.472,2.674,0.095
BPG,70,1.459,5.15,10.87,200,1363.636,0.617,1.586,2.88,0.102
BPG,75,1.459,5.15,10.87,200,1363.636,0.661,1.699,3.085,0.109
BPG,80,1.459,5.15,10.87,200,1363.636,0.705,1.812,3.291,0.117
BPG,85,1.459,5.15,10.87,200,1363.636,0.749,1.925,3.497,0.124
BPG,90,1.459,5.15,10.87,200,1363.636,0.793,2.039,3.702,0.131
BPG,95,1.459,5.15,10.87,200,1363.636,0.838,2.152,3.908,0.139
BPG,100,1.459,5.15,10.87,200,1363.636,0.882,2.265,4.114,0.146
GPK,5,24.7,87.86,213.2,2000,5000,34.722,96.063,178.468,0.124
GPK,10,24.7,87.86,213.2,2000,5000,69.445,192.126,356.937,0.247
GPK,15,24.7,87.86,213.2,2000,5000,104.167,288.19,535.405,0.371
GPK,20,24.7,87.86,213.2,2000,5000,138.889,384.253,713.873,0.494
GPK,25,24.7,87.86,213.2,2000,5000,173.611,480.316,892.342,0.618
GPK,30,24.7,87.86,213.2,2000,5000,208.334,576.379,1070.81,0.741
GPK,35,24.7,87.86,213.2,2000,5000,243.056,672.443,1249.279,0.865
GPK,40,24.7,87.86,213.2,2000,5000,277.778,768.506,1427.747,0.988
GPK,45,24.7,87.86,213.2,2000,5000,312.5,864.569,1606.215,1.112
GPK,50,24.7,87.86,213.2,2000,5000,347.223,960.632,1784.684,1.235
GPK,55,24.7,87.86,213.2,2000,5000,381.945,1056.696,1963.152,1.359
GPK,60,24.7,87.86,213.2,2000,5000,416.667,1152.759,2141.62,1.482
GPK,65,24.7,87.86,213.2,2000,5000,451.39,1248.822,2320.089,1.606
GPK,70,24.7,87.86,213.2,2000,5000,486.112,1344.885,2498.557,1.729
GPK,75,24.7,87.86,213.2,2000,5000,520.834,1440.949,2677.026,1.853
GPK,80,24.7,87.86,213.2,2000,5000,555.556,1537.012,2855.494,1.976
GPK,85,24.7,87.86,213.2,2000,5000,590.279,1633.075,3033.962,2.1
GPK,90,24.7,87.86,213.2,2000,5000,625.001,1729.138,3212.431,2.223
GPK,95,24.7,87.86,213.2,2000,5000,659.723,1825.202,3390.899,2.347
GPK,100,24.7,87.86,213.2,2000,5000,694.445,1921.265,3569.367,2.47
PGR,5,14.19,33.38,10.49,200,1363.636,2.779,4.019,5.478,0.071
PGR,10,14.19,33.38,10.49,200,1363.636,5.558,8.039,10.956,0.142
PGR,15,14.19,33.38,10.49,200,1363.636,8.336,12.058,16.434,0.213
PGR,20,14.19,33.38,10.49,200,1363.636,11.115,16.077,21.913,0.284
PGR,25,14.19,33.38,10.49,200,1363.636,13.894,20.097,27.391,0.355
PGR,30,14.19,33.38,10.49,200,1363.636,16.673,24.116,32.869,0.426
PGR,35,14.19,33.38,10.49,200,1363.636,19.452,28.135,38.347,0.497
PGR,40,14.19,33.38,10.49,200,1363.636,22.231,32.155,43.825,0.568
PGR,45,14.19,33.38,10.49,200,1363.636,25.009,36.174,49.303,0.639
PGR,50,14.19,33.38,10.49,200,1363.636,27.788,40.193,54.781,0.71
PGR,55,14.19,33.38,10.49,200,1363.636,30.567,44.213,60.259,0.78
PGR,60,14.19,33.38,10.49,200,1363.636,33.346,48.232,65.738,0.851
PGR,65,14.19,33.38,10.49,200,1363.636,36.125,52.251,71.216,0.922
PGR,70,14.19,33.38,10.49,200,1363.636,38.903,56.27,76.694,0.993
PGR,75,14.19,33.38,10.49,200,1363.636,41.682,60.29,82.172,1.064
PGR,80,14.19,33.38,10.49,200,1363.636,44.461,64.309,87.65,1.135
PGR,85,14.19,33.38,10.49,200,1363.636,47.24,68.328,93.128,1.206
PGR,90,14.19,33.38,10.49,200,1363.636,50.019,72.348,98.606,1.277
PGR,95,14.19,33.38,10.49,200,1363.636,52.798,76.367,104.085,1.348
PGR,100,14.19,33.38,10.49,200,1363.636,55.576,80.386,109.563,1.419
PGK,5,13.873,32.92,79.41,800,1400,10.439,28.786,53.429,0.069
PGK,10,13.873,32.92,79.41,800,1400,20.878,57.573,106.859,0.139
PGK,15,13.873,32.92,79.41,800,1400,31.317,86.359,160.288,0.208
PGK,20,13.873,32.92,79.41,800,1400,41.755,115.146,213.717,0.277
PGK,25,13.873,32.92,79.41,800,1400,52.194,143.932,267.146,0.347
PGK,30,13.873,32.92,79.41,800,1400,62.633,172.719,320.576,0.416
PGK,35,13.873,32.92,79.41,800,1400,73.072,201.505,374.005,0.486
PGK,40,13.873,32.92,79.41,800,1400,83.511,230.292,427.434,0.555
PGK,45,13.873,32.92,79.41,800,1400,93.95,259.078,480.864,0.624
PGK,50,13.873,32.92,79.41,800,1400,104.388,287.865,534.293,0.694
PGK,55,13.873,32.92,79.41,800,1400,114.827,316.651,587.722,0.763
PGK,60,13.873,32.92,79.41,800,1400,125.266,345.438,641.151,0.832
PGK,65,13.873,32.92,79.41,800,1400,135.705,374.224,694.581,0.902
PGK,70,13.873,32.92,79.41,800,1400,146.144,403.011,748.01,0.971
PGK,75,13.873,32.92,79.41,800,1400,156.583,431.797,801.439,1.04
PGK,80,13.873,32.92,79.41,800,1400,167.021,460.584,854.869,1.11
PGK,85,13.873,32.92,79.41,800,1400,177.46,489.37,908.298,1.179
PGK,90,13.873,32.92,79.41,800,1400,187.899,518.157,961.727,1.249
PGK,95,13.873,32.92,79.41,800,1400,198.338,546.943,1015.156,1.318
PGK,100,13.873,32.92,79.41,800,1400,208.777,575.73,1068.586,1.387
BTT,5,11.25,42.37,10.72,600,1500,7.627,10.739,14.334,0.056
BTT,10,11.25,42.37,10.72,600,1500,15.253,21.479,28.669,0.113
BTT,15,11.25,42.37,10.72,600,1500,22.88,32.218,43.003,0.169
BTT,20,11.25,42.37,10.72,600,1500,30.506,42.957,57.337,0.225
BTT,25,11.25,42.37,10.72,600,1500,38.133,53.696,71.672,0.281
BTT,30,11.25,42.37,10.72,600,1500,45.76,64.436,86.006,0.338
BTT,35,11.25,42.37,10.72,600,1500,53.386,75.175,100.34,0.394
BTT,40,11.25,42.37,10.72,600,1500,61.013,85.914,114.674,0.45
BTT,45,11.25,42.37,10.72,600,1500,68.639,96.653,129.009,0.506
BTT,50,11.25,42.37,10.72,600,1500,76.266,107.393,143.343,0.563
BTT,55,11.25,42.37,10.72,600,1500,83.893,118.132,157.677,0.619
BTT,60,11.25,42.37,10.72,600,1500,91.519,128.871,172.012,0.675
BTT,65,11.25,42.37,10.72,600,1500,99.146,139.61,186.346,0.731
BTT,70,11.25,42.37,10.72,600,1500,106.772,150.35,200.68,0.788
BTT,75,11.25,42.37,10.72,600,1500,114.399,161.089,215.015,0.844
BTT,80,11.25,42.37,10.72,600,1500,122.026,171.828,229.349,0.9
